search_date,flight_date,route_label,departure_iata,departure_name,arrival_iata,arrival_name,airline,flight_number,departure_time,arrival_time,duration_min,stops,aircraft,travel_class,legroom_cm,is_overnight,often_delayed,codeshare_partners,price_jpy,is_best_flight,route_lowest_price,route_typical_low,route_typical_high,route_price_level,total_flights_on_day,is_dummy
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,キャセイパシフィック航空,CX 548,08:40,13:55,255,0,Boeing 777,Economy,81.0,False,False,JAL,134963.0,False,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,中国国際航空,CA 108,10:30,20:00,510,1,Boeing 737MAX 8 Passenger,Economy,76.0,False,False,,74856.0,False,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,大韓航空,KE 2002,12:20,22:50,570,1,Airbus A330,Economy,84.0,False,False,,100609.0,False,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,アシアナ航空,OZ 722,13:00,23:30,570,1,Airbus A321neo,Economy,79.0,False,False,,70424.0,False,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,JAL,JL 26,15:15,20:25,250,0,Boeing 787,Economy,84.0,False,False,キャセイパシフィック航空,115344.0,True,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,キャセイパシフィック航空,CX 542,16:20,21:35,255,0,Boeing 777,Economy,79.0,False,False,JAL,123927.0,True,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,香港エクスプレス航空,UO 622,17:35,22:55,260,0,Airbus A321neo,Economy,71.0,False,False,,49947.0,True,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,フィリピン航空,PR 307,18:00,13:35,1115,1,Airbus A321,Economy,76.0,False,False,,70976.0,False,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,フィリピン航空,PR 311,23:15,13:35,800,1,Airbus A321,Economy,76.0,False,False,,75881.0,False,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→HND,HKG,香港国際空港,HND,羽田空港,ANA,NH 814,23:55,04:55,240,0,Boeing 787,Economy,79.0,True,False,,156441.0,False,49947,23500,29000,high,10,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,Peach,MM 68,00:55,05:45,230,0,Airbus A320neo,Economy,,True,False,,57734.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,キャセイパシフィック航空,CX 566,01:55,06:40,225,0,Airbus A330,Economy,81.0,True,False,JAL,135780.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港航空,HX 616,02:50,07:55,245,0,Airbus A320,Economy,71.0,True,False,,62753.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港エクスプレス航空,UO 850,07:05,11:50,225,0,Airbus A321neo,Economy,71.0,False,False,,39995.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,キャセイパシフィック航空,CX 596,08:10,12:55,225,0,Airbus A350,Premium Economy,,False,False,JAL,192593.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,Greater Bay Airlines,HB 340,08:15,13:05,230,0,Boeing 737,Economy,74.0,False,False,,48721.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港航空,HX 614,08:25,13:30,245,0,Airbus A320,Economy,76.0,False,False,,49830.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港エクスプレス航空,UO 686,08:45,13:30,225,0,Airbus A321neo,Economy,71.0,False,False,,44082.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,キャセイパシフィック航空,CX 506,10:25,15:10,225,0,Boeing 777,Economy,79.0,False,True,JAL,135780.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港航空,HX 618,10:55,16:00,245,0,Airbus A320,Economy,74.0,False,False,,62753.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港エクスプレス航空,UO 898,11:20,16:05,225,0,Airbus A321neo,Economy,71.0,False,False,,44082.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,Peach,MM 64,12:40,17:30,230,0,Airbus A321,Economy,,False,False,,40567.0,True,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,キャセイパシフィック航空,CX 598,13:20,18:05,225,0,Airbus A321neo,Economy,76.0,False,False,JAL,171544.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港航空,HX 612,14:20,19:20,240,0,Airbus A320,Economy,74.0,False,False,,47953.0,True,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港エクスプレス航空,UO 688,14:55,19:40,225,0,Airbus A321,Economy,74.0,False,False,,36929.0,True,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,香港エクスプレス航空,UO 862,15:50,20:35,225,0,Airbus A321neo,Economy,71.0,False,False,,54300.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→KIX,HKG,香港国際空港,KIX,関西国際空港,キャセイパシフィック航空,CX 502,16:30,21:15,225,0,Airbus A330,Economy,81.0,False,False,JAL,171544.0,False,36929,23000,29000,high,17,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,チェジュ航空,7C 6014,00:35,11:30,595,1,Boeing 737MAX 8 Passenger,Economy,74.0,True,False,,53033.0,True,40138,26500,36000,high,8,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,大韓航空,KE 2012,00:45,12:30,645,1,Airbus A330,Economy,84.0,True,False,,76085.0,False,40138,26500,36000,high,8,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,アシアナ航空,OZ 746,01:40,10:55,495,1,Airbus A321neo,Economy,79.0,True,False,,70424.0,True,40138,26500,36000,high,8,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,キャセイパシフィック航空,CX 536,10:10,15:05,235,0,Airbus A350,Economy,81.0,False,False,JAL,171544.0,False,40138,26500,36000,high,8,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,香港エクスプレス航空,UO 690,10:50,15:50,240,0,Airbus A321,Economy,74.0,False,False,,40138.0,True,40138,26500,36000,high,8,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,キャセイパシフィック航空,CX 532,16:15,21:15,240,0,Airbus A321neo,Economy,76.0,False,False,JAL,171544.0,False,40138,26500,36000,high,8,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,フィリピン航空,PR 307,18:00,12:10,1030,1,Airbus A321,Economy,76.0,False,False,,65254.0,False,40138,26500,36000,high,8,False
2026-06-15,2026-06-18,HKG→NGO,HKG,香港国際空港,NGO,中部国際空港 セントレア,フィリピン航空,PR 311,23:15,12:10,715,1,Airbus A321,Economy,76.0,False,False,,70158.0,False,40138,26500,36000,high,8,False
2026-06-15,2026-06-29,AOJ→HND,AOJ,青森空港,HND,羽田空港,JAL,JL 140,07:35,08:55,80,0,Boeing 737,Economy,79.0,False,False,,17280.0,True,17280,10000,17500,typical,11,False
2026-06-15,2026-06-29,AOJ→HND,AOJ,青森空港,HND,羽田空港,JAL,JL 142,09:10,10:30,80,0,Boeing 737,Economy,79.0,False,False,,17280.0,True,17280,10000,17500,typical,11,False
2026-06-15,2026-06-29,AOJ→HND,AOJ,青森空港,HND,羽田空港,JAL,JL 144,12:00,13:20,80,0,Boeing 737,Economy,79.0,False,False,,17280.0,True,17280,10000,17500,typical,11,False
2026-06-15,2026-06-29,AOJ→HND,AOJ,青森空港,HND,羽田空港,大韓航空,KE 2194,12:45,22:50,605,1,Airbus A321neo,Economy,79.0,False,False,,56730.0,False,17280,10000,17500,typical,11,False
2026-06-15,2026-06-29,AOJ→HND,AOJ,青森空港,HND,羽田空港,JAL,JL 146,15:15,16:40,85,0,Boeing 737,Economy,79.0,False,False,,17280.0,False,17280,10000,17500,typical,11,False
2026-06-15,2026-06-29,AOJ→HND,AOJ,青森空港,HND,羽田空港,JAL,JL 148,17:50,19:15,85,0,Boeing 737,Economy,79.0,False,False,,17280.0,False,17280,10000,17500,typical,11,False
2026-06-15,2026-06-29,AOJ→HND,AOJ,青森空港,HND,羽田空港,JAL,JL 150,20:45,22:05,80,0,Boeing 737,Economy,79.0,False,False,,17280.0,False,17280,10000,17500,typical,11,False
2026-06-19,2026-06-22,HKG→HND,HKG,香港国際空港,HND,羽田空港,キャセイパシフィック航空,CX 548,08:40,13:55,255,0,Boeing 777,Economy,81.0,False,False,JAL,135866.0,False,28063,23500,29500,typical,9,False
